id,category,action,owner,ledger_status,project,file,claim,note,what_would_settle_it,how_long
C025,NARROW,RELABEL,devig,UNVERIFIED,crypto,LEDGER.md,"""MM scan: 0 of 4 series profitable.""","'0 of 4 series profitable' when only one series was ever P&L-tested. Now largely filled by the 2026-08-07 four-series run, and the ledger row has not caught up.",The 2026-08-07 run covers all four series. The row still says only one was ever tested.,minutes
C026,NOT-A-CLOSURE,,,SETTLED,crypto,LEDGER.md,The four crypto assets are not four independent series — there are ~1.81.,guard -- effective independent series,,
C027,EVIDENCE,,,SETTLED,crypto,LEDGER.md,Lead-lag ETH→XRP (+0.1544) is tradeable.,killed on economics: 0.38c of edge against a 1.00c tick,,
W001,NOT-A-CLOSURE,,,SETTLED,wallet-copy-study,LEDGER.md,Wallet skill is real and persists out of sample.,positive finding,,
W002,NOT-A-CLOSURE,,,SETTLED,wallet-copy-study,LEDGER.md,A period-1 top decile keeps +2.567pp of excess into an untouched period 2.,positive finding,,
W003,EVIDENCE,,,SETTLED,wallet-copy-study,LEDGER.md,But a copier who buys the same entries and holds gets only +0.937pp.,,,
W004,EVIDENCE,,,SETTLED,wallet-copy-study,LEDGER.md,"And that is less than the spread, so the strategy is break-even at best.",the closure: +0.937pp against a >=1.0pp spread,,
W005,EVIDENCE,,,SETTLED,wallet-copy-study,LEDGER.md,The copier return declines monotonically across split points: +1.98 → +0.94 → −0.14.,monotone decline across three split points,,
W007,EVIDENCE,,,SETTLED,wallet-copy-study,LEDGER.md,Copying exits destroys value at every delay.,,,
W008,EVIDENCE,,,SETTLED,wallet-copy-study,LEDGER.md,"It is not timing skill — duration-matched, the wallets add nothing.",,,
W009,EVIDENCE,,,SETTLED,wallet-copy-study,LEDGER.md,"It is not tail-risk avoidance — shorter holding is strictly worse, monotonically.",,,
W010,EVIDENCE,,,SETTLED,wallet-copy-study,LEDGER.md,Selling winners early and losers early are two enormous effects that cancel.,,,
W013,NOT-A-CLOSURE,,,SUGGESTIVE,wallet-copy-study,LEDGER.md,Entries do decay for selected wallets: +3.436 → +0.427pp over 5 minutes.,"SUGGESTIVE, caveated",,
W014,EVIDENCE,,,SETTLED,wallet-copy-study,LEDGER.md,The unconditional decay curve is flat from 0s to 1800s — a bot buys nothing.,2.2M buy signals,,
W017,NOT-A-CLOSURE,,,SETTLED,wallet-copy-study,LEDGER.md,"Polymarket charged no fee for 91% of on-chain history, switching on 2026-01-08.",regime fact,,
W018,NOT-A-CLOSURE,,,SETTLED,wallet-copy-study,LEDGER.md,Ranking inside the fee era finds an almost entirely different top decile.,composition finding,,
W019,EVIDENCE,,,SETTLED,wallet-copy-study,LEDGER.md,Capacity is not the constraint — price impact does not scale with trade size.,,,
W020,EVIDENCE,,,SETTLED,wallet-copy-study,LEDGER.md,"Adverse selection is not present — copyable fills are *better*, not worse.",,,
W021,EVIDENCE,,,SETTLED,wallet-copy-study,LEDGER.md,Market making is not the explanation for persistence.,,,
W022,EVIDENCE,,,SETTLED,wallet-copy-study,LEDGER.md,Survivorship is not driving the result.,,,
W023,NOT-A-CLOSURE,,,SETTLED,wallet-copy-study,LEDGER.md,The excess metric scores a null strategy at zero.,canary,,
W024,NOT-A-CLOSURE,,,SETTLED,wallet-copy-study,LEDGER.md,"Phase 5 (sizing, portfolio, forward test) was deliberately not run.","a declared gate, not a measurement",,
T001,NOT-A-CLOSURE,,,SETTLED,kalshi-tennis,LEDGER.md,Only 36.9% of Kalshi tennis markets clear all three modelling thresholds.,coverage fact,,
T002,DATA,REOPEN,tennis,SETTLED,kalshi-tennis,LEDGER.md,"The binding constraint: Sackmann features end 2026-06-02, and 85.0% of markets are after that.",the binding constraint on the whole player model is one frozen source ending 2026-06-02. The root audit's D10 records that $9.99 buys 43 months of point-by-point history including ITF. Nobody has bought it.,The $9.99 point-by-point history covering 43 months including ITF. It replaces the frozen source that ends 2026-06-02 and it re-powers B023 at the same time.,$9.99 and one rebuild
T003,DATA,RELABEL,tennis,SETTLED,kalshi-tennis,LEDGER.md,Sackmann's upstream repos are gone (404); the project runs on a frozen mirror.,"'Sackmann upstream is gone' -- B020 later found a live mirror and a live 399-star repo. Corrected in LEDGER, and the closure was made before the check.",B020 already corrected it in LEDGER.md; the project's own docs still say gone.,minutes
T004,EVIDENCE,,,SETTLED,kalshi-tennis,LEDGER.md,"""Comeback ability"" is ~75% just overall skill.","3.4M player-match rows, split-half, positive control and null",,
T005,NOT-A-CLOSURE,,,SETTLED,kalshi-tennis,LEDGER.md,"The model itself is good: held-out Brier 0.19884, AUC 0.75984.",model quality finding,,
T006,EVIDENCE,,,SETTLED,kalshi-tennis,LEDGER.md,"But the model loses to the bookmakers. This is the Stage 4 gate, and it failed.","the Stage 4 gate, on data containing no Kalshi prices, so the leak never touched it",,
T009,EVIDENCE,,,SETTLED,kalshi-tennis,LEDGER.md,43 selective segments tested with Benjamini-Hochberg; 19 survive and every one is negative.,"19 survive correction, every one negative",,
T011,NOT-A-CLOSURE,,,SETTLED,kalshi-tennis,LEDGER.md,The anchor sweep proves which Kalshi anchor is leak-free.,leak diagnostic,,
T012,NOT-A-CLOSURE,,,SETTLED,kalshi-tennis,LEDGER.md,Kalshi is the sharp line — indistinguishable from Betfair at a clean anchor.,positive finding -- Kalshi is the sharp line,,
T013,EVIDENCE,,,SETTLED,kalshi-tennis,LEDGER.md,"Where the two venues disagree by more than it costs to act, Kalshi is closer 49.1% of the time — a coin flip measured precisely.",,,
T014,NOT-A-CLOSURE,,,SETTLED,kalshi-tennis,LEDGER.md,tennis-data.co.uk stopped carrying Pinnacle in 2026; the real benchmark is the Betfair Exchange close.,naming hazard,,
T015,NOT-A-CLOSURE,,,SETTLED,kalshi-tennis,LEDGER.md,"39.8% of held-out Kalshi markets quote wider than 10¢ — a 1c/99c quote has a 50c ""mid"" nobody trades at.",spread distribution fact,,
T016,NOT-A-CLOSURE,,,SETTLED,kalshi-tennis,LEDGER.md,Shrinkage behaves correctly across all 8 statistics × 2 buckets.,sanity check,,
T018,NARROW,RELABEL,tennis,SETTLED,kalshi-tennis,LEDGER.md,The ITF tier cannot be modelled from Sackmann — serve stats on only 4.6% of futures rows.,"'the ITF tier cannot be modelled' is true of Sackmann's futures files, which is one source. It is quoted as if it were about ITF.",Say 'cannot be modelled from Sackmann' -- which is what was measured -- not 'cannot be modelled'.,minutes
T019,NOT-A-CLOSURE,,,SETTLED,kalshi-tennis,LEDGER.md,"Player order is assigned cleanly (alphabetical), not by outcome.",guard,,
T020,NOT-A-CLOSURE,,,SETTLED,kalshi-tennis,LEDGER.md,The API-listing-order side choice is clean.,guard,,
T021,NOT-A-CLOSURE,,,SUGGESTIVE,kalshi-tennis,LEDGER.md,stage5_selective.py sorts variants on mean_pnl over the full sample with no holdout.,"reading hazard, severity corrected down",,
T022,NOT-A-CLOSURE,,,?,kalshi-tennis,LEDGER.md,"stage5_selective.py dedupes with keep=""first"" — order-dependent and non-deterministic.","fixed, unrun",,
CH057,NOT-A-CLOSURE,,,UNVERIFIED,,LEDGER.md,"""4 weeks / 14k markets / 0 of 480 configs profitable""","was UNVERIFIED; B010 replayed it at 481 configurations. The ledger row is stale, not wrong.",,
CH031,EVIDENCE,,,SETTLED,,LEDGER.md,The score-staleness guard never fired — fetched_at was stamped at cache read,a bug that correctly voided results rather than manufacturing a null; B008 later measured it at 97.4%,,
CH022,NOT-A-CLOSURE,,,BROKEN,,LEDGER.md,Three irreconcilable P&L figures for one session (+$0.60 / +$2.51 / −$3.55),"BROKEN, unresolved",,
CH035,NOT-A-CLOSURE,,,UNVERIFIED,,LEDGER.md,Every negative result in the project is a taker result,"an open gap, correctly labelled -- and still only partly filled: tennis (S008) yes, esports BROKEN (BH006), crypto one week of tape",,
CH044,NOT-A-CLOSURE,,,SETTLED,,LEDGER.md,A position-sizing blowout produced 64 contracts against an intended 9,"bug, later diagnosed",,
K001,FLOOR,RELABEL,devig,SETTLED,kalshi-market-scan,LEDGER.md,"⚠ WORDING NARROWED 2026-08-09. Reads as a general claim; it is 25 markets. Correct sentence: *""on the 25 KXBTC15M markets with recorded books, no model beat the","'no model beats the mid on KXBTC15M' on 25 markets, every range spanning zero. The family is separately dead on structure (K013), which is what actually closes it.",Say '25 markets could not resolve it' rather than 'no model beats the mid'. The family is dead on structure anyway (K013).,minutes
K002,NOT-A-CLOSURE,,,SETTLED,kalshi-market-scan,LEDGER.md,The weather model genuinely beats climatology in all four cities.,positive finding,,
K004,EVIDENCE,,,SETTLED,kalshi-market-scan,LEDGER.md,Only KXTEMPDCH clears both the power bar and the capacity bar. 1 of 11 families.,10 of 11 families fail the power or capacity bar. The survivor's deciding gate is openly unmeasured.,,
K007,EVIDENCE,,,SETTLED,kalshi-market-scan,LEDGER.md,No-arb violations are real but the size is dust.,"52 violations, 0 with tradeable size",,
K008,NOT-A-CLOSURE,,,SETTLED,kalshi-market-scan,LEDGER.md,Copying Polymarket tennis wallets earns +7.23pp.,positive finding on Polymarket,,
K009,EVIDENCE,,,SETTLED,kalshi-market-scan,LEDGER.md,"The favourite-longshot bias does not exist on Kalshi, so the Polymarket→Kalshi transfer fails.",762 settled matches; the load-bearing kill for copy trading. Measured on tennis only.,,
K010,NOT-A-CLOSURE,,,UNVERIFIED,kalshi-market-scan,LEDGER.md,"Kalshi pre-match prices are calibrated bucket by bucket (""every binomial p ≥ 0.499"").",already labelled OVERSTATED,,
K011,EVIDENCE,,,SETTLED,kalshi-market-scan,LEDGER.md,Flow following on Kalshi has no signal — price absorbs the flow.,"1,376 settled markets, 1.77M trades",,
K012,FLOOR,RELABEL,devig,SETTLED,kalshi-market-scan,LEDGER.md,"⚠ WORDING NARROWED 2026-08-09. ""Killed"" reads as *no edge*; it means can never be measured — 22–48 settlements against the 481 needed. An unmeasurable family is","'economics series are killed on recurrence' is a statement that they can never be MEASURED (22-48 settlements against 481 needed), not that they have no edge. The word 'killed' reads as the second.","'Killed on recurrence' means it can never be measured, not that there is no edge. Two different sentences.",minutes
K013,EVIDENCE,,,SETTLED,kalshi-market-scan,LEDGER.md,"KXBTC15M is minted at-the-money every 15 minutes, pinning entry to the peak of the fee curve.","structural: minted at the money on 99.86% of 6,261 markets",,
K014,NOT-A-CLOSURE,,,SETTLED,kalshi-market-scan,LEDGER.md,"The power bar is 481 settlements for a 5pp edge, 2,084 to clear the 2.4¢ tennis cost bar.",power arithmetic,,
K016,NOT-A-CLOSURE,,,SETTLED,kalshi-market-scan,LEDGER.md,Deflated Sharpe was deliberately not computed.,a declared decision,,
B001,EVIDENCE,,,SETTLED,bot-forensics,LEDGER.md,The bot lost money over its whole life. −$6.92 across 108 matches.,,,
B002,EVIDENCE,,,SETTLED,bot-forensics,LEDGER.md,"The hand-trading made the money; the bot did not. Manual +$98.94, bot −$6.92.",,,
B003,EVIDENCE,,,SETTLED,bot-forensics,LEDGER.md,"The ""profitable night"" is a cut at the maximum of the equity curve, and the argmax is not a finding.","200,000 reorderings",,
B004,NOT-A-CLOSURE,,,SUGGESTIVE,bot-forensics,LEDGER.md,Splitting on the clock instead of the curve: night beats day in sign only.,"SUGGESTIVE at best, said so",,
B005,EVIDENCE,,,SETTLED,bot-forensics,LEDGER.md,0 of 13 permutation-tested buckets clear BH-FDR at 5%.,,,
B005a,NOT-A-CLOSURE,,,BROKEN,bot-forensics,LEDGER.md,"⚠ The parametric arm of the same test reports 3 discoveries, not 0, and it propagated to only one of four documents.","propagation gap, the 0 is right",,
B006,NOT-A-CLOSURE,,,SETTLED,bot-forensics,LEDGER.md,The night/day comparison is confounded against the night at source.,confound measurement,,
B007,EVIDENCE,,,SETTLED,bot-forensics,LEDGER.md,"The martingale is present in the profitable stretch, and it went 7 for 7.",,,
B008,EVIDENCE,,,SETTLED,bot-forensics,LEDGER.md,The score feed arrived after the market had already repriced. Puts a magnitude on CH031.,,,
B009,EVIDENCE,,,SETTLED,bot-forensics,LEDGER.md,"The night's actual configuration, replayed over the backtest corpus, loses on every tier — worst on ITF, where it actually traded.","13,658 market views, train/holdout, t=-26",,
B010,EVIDENCE,,,SETTLED,bot-forensics,LEDGER.md,The night's config was not badly chosen — it is just in a losing family.,0 of 481 configurations,,
B011,NOT-A-CLOSURE,,,SETTLED,bot-forensics,LEDGER.md,"The live 39 hours are consistent with the backtest, not in tension with it.",consistency check,,
B012,EVIDENCE,,,SETTLED,bot-forensics,LEDGER.md,"The stop loss is the single most expensive component, and four independent files now agree.",four files agree,,
B013,NOT-A-CLOSURE,,,SETTLED,bot-forensics,LEDGER.md,"Kalshi tennis settles strictly binary; a retirement does *not* settle ""at the number"".",settlement fact,,
B014,NOT-A-CLOSURE,,,SETTLED,bot-forensics,LEDGER.md,Roughly thirty people independently built this same bot in six months and none publishes a settled P&L.,observational,,
B015,NARROW,RELABEL,signal,SETTLED,bot-forensics,LEDGER.md,Nobody documents the overnight-vs-daytime pattern in prediction-market sports books.,'nobody documents the overnight pattern' from two video corpora and four GitHub queries. It gates nothing.,"An absence from two corpora. It gates nothing, so the only cost is someone quoting it as a census.",minutes
B016,NOT-A-CLOSURE,,,SETTLED,bot-forensics,LEDGER.md,"⚠ A free ITF data source may exist, reopening a thread closed on data availability.",superseded by B021,,
B017,NOT-A-CLOSURE,,,SETTLED,bot-forensics,LEDGER.md,"The SAGLEV re-entry legs were 749 s apart, not 24 s.",correction,,
B018,NOT-A-CLOSURE,,,SETTLED,bot-forensics,LEDGER.md,The bankroll was stepped up by hand during the winning run.,sizing fact,,
B019,NOT-A-CLOSURE,,,BROKEN,bot-forensics,LEDGER.md,A notional-only bot/manual classifier misclassified the single largest winner.,classifier caught and replaced,,
B020,NOT-A-CLOSURE,,,SETTLED,bot-forensics,LEDGER.md,"""Sackmann upstream is 404"" is too strong — a live mirror exists.",corrects T003 / M015,,
B021,NOT-A-CLOSURE,,,SETTLED,bot-forensics,LEDGER.md,"A free ITF data source DOES exist. The thread that was closed on ""no free ITF source"" was closed on a false premise.","THE worked reopen -- a thread closed on a false premise, reopened by checking the premise",,
B022,NOT-A-CLOSURE,,,SETTLED,bot-forensics,LEDGER.md,⚠ The vendor's advertised free-tier rate limit is wrong by 10×.,vendor rate-limit fact,,
B023,FLOOR,RELABEL,tennis,SETTLED,bot-forensics,LEDGER.md,Pre-match player features add nothing to Kalshi's opening price.,"LEDGER says SETTLED (null). The project itself writes 'read as not demonstrated on 29 days of form data, not player features cannot work'. The median player appears ~3 times.",The project's own wording is right and the ledger's is not. Copy the project's sentence into the row.,minutes
B024,EVIDENCE,,,SETTLED,bot-forensics,LEDGER.md,"The one surviving signal — ""buy the heavy favourite"" — is a wide-book quoting artifact, not a mispricing.","reports its own detection floor (5.15pp on tight books) and says a real effect is not excluded, only unevidenced. The model.",,
B025,NOT-A-CLOSURE,,,BROKEN,bot-forensics,LEDGER.md,"⚠ Two bugs in this session's own analysis code, caught before publication.","own bugs, caught pre-publication",,
B026,NOT-A-CLOSURE,,,UNVERIFIED,bot-forensics,LEDGER.md,"⚠ Possible tension with K009, unresolved.",resolved by B027,,
B027,EVIDENCE,,,SETTLED,bot-forensics,LEDGER.md,"Where Kalshi tennis is liquid, its opening price is calibrated across the entire price range. Where it is wide, it is not — and that is where every apparent edg","6,519 events, both arms pre-declared",,
M011,FLOOR,RELABEL,devig,SUGGESTIVE,,LEDGER.md,"""Kalshi's MLB moneyline already tracks the free DraftKings line."" median |Kalshi mid − de-vigged DK| 0.37¢, p90 0.75¢, max 1.94¢, 0 of 26 exceed the cost bar","13 games, one snapshot, a retail book. Corrected in PREREGISTRATION_DEVIG but PREREGISTRATION.md still calls MLB 'known efficient' on it with no caveat.","PREREGISTRATION.md still calls MLB 'known efficient' on 13 games against a retail book, with no caveat. Its sibling file was corrected on 2026-08-06; this one was not.",minutes
M001,NOT-A-CLOSURE,,,-,,LEDGER.md,"*""Kalshi's /orderbook returns empty; order-book depth is not public.""* Held by a prior session and independently reproduced on 85 markets.",retraction -- and the worked example of a bug closure,,
BH001,NOT-A-CLOSURE,,,SETTLED,,LEDGER.md,"Pinnacle's guest API returns live priced markets unauthenticated and free — 27,582 soccer, 3,728 tennis, 1,920 baseball, 643 esports, each with maxRiskStake.",API fact,,
